id_despesa,id_projeto,cd_identificador_rubrica,ds_despesa,tx_justificativa,vl_unitario,nr_quantidade,vl_despesa,fl_fonte_recurso,id_receita,ds_unidade_medida,fl_origem_material,fl_ressarcimento,ds_tipo_ressarcimento,fl_tipo_pessoa_servico,dt_calculo_imposto
895,602,339014,,"A diária servirá para as despesas do palestrante com alimentação e hospedagem.",265.50,1.50,398.25,A,,,,,,,
896,602,339014,,"A diária servirá para as despesas do palestrante com alimentação e hospedagem.",265.50,1.50,398.25,A,,,,,,,
897,602,339014,,"A diária servirá para as despesas do palestrante com alimentação e hospedagem.",265.50,1.50,398.25,A,,,,,,,
898,602,339014,,"A diária servirá para as despesas do palestrante com alimentação e hospedagem.",265.50,1.50,398.25,A,,,,,,,
900,602,339030,"Material de divulgação (folder e cartaz)",,2.00,300.00,600.00,A,,u,,,,,
901,602,339033,,"O palestrante precisa se deslocar da cidade de origem até o local do evento.",500.00,2.00,1000.00,A,,,,,,,
902,602,339033,,"O palestrante precisa se deslocar da cidade de origem até o local do evento.",500.00,2.00,1000.00,A,,,,,,,
903,602,339033,,"O palestrante precisa se deslocar da cidade de origem até o local do evento.",500.00,2.00,1000.00,A,,,,,,,
904,602,339033,,"O palestrante precisa se deslocar de Porto Alegre (aeroporto) até o local do evento.",95.00,6.00,570.00,A,,,,,,,
905,602,339033,,"O palestrante precisa se deslocar da cidade de origem até o local do evento.",70.00,2.00,140.00,A,,,,,,,
906,602,339033,,"O palestrante precisa se deslocar da cidade de origem até o local do evento.",15.00,4.00,60.00,A,,,,,,,
907,602,339033,,"O palestrante precisa se deslocar da cidade de origem até o local do evento.",150.00,2.00,300.00,A,,,,,,,
908,602,339033,,"O palestrante precisa se deslocar da cidade de origem até o local do evento.",250.00,2.00,500.00,A,,,,,,,
909,602,339033,,"O palestrante precisa se deslocar da cidade de origem até o local do evento.",200.00,2.00,400.00,A,,,,,,,
910,602,339033,,"O palestrante precisa se deslocar da cidade de origem até o local do evento.",150.00,2.00,300.00,A,,,,,,,
911,602,339033,,"O palestrante precisa se deslocar da cidade de origem até o local do evento.",55.00,2.00,110.00,A,,,,,,,
912,602,339014,,"A diária servirá para as despesas do palestrante com alimentação e hospedagem.",265.50,1.50,398.25,A,,,,,,,
913,602,339014,,"A diária servirá para as despesas do palestrante com alimentação e hospedagem.",265.50,1.50,398.25,A,,,,,,,
914,602,339014,,"A diária servirá para as despesas do palestrante com alimentação e hospedagem.",265.50,1.50,398.25,A,,,,,,,
915,602,339014,,"A diária servirá para as despesas do palestrante com alimentação e hospedagem.",265.50,1.50,398.25,A,,,,,,,
1315,866,339018,,"Execução do plano de trabalho - Mestrando",18000.00,1.00,18000.00,T,,,,,,,
1316,866,339030,"Material para esportes",,1500.00,1.00,1500.00,T,124,u,,,,,
1317,866,339030,"Material para oficinas de educação e saneamento ambiental",,1200.00,1.00,1200.00,T,124,u,,,,,
1318,866,339030,"Livros infantis",,2400.00,1.00,2400.00,T,124,u,,,,,
1319,866,339030,Camisetas,,18.00,170.00,3060.00,T,124,u,,,,,
1320,866,339030,"Material de ajardinamento",,3000.00,1.00,3000.00,T,124,u,,,,,
1321,866,339039,"Atividades de educação e saneamento ambiental","Contratação de pessoa jurídica para desenvolvimento de atividades de educação e saneamento ambiental.",19000.00,1.00,19000.00,T,124,,,,,J,2018-04-30
1322,866,339030,"Material de escritório diversos",,1230.00,1.00,1230.00,T,124,u,,,,,
1323,866,339039,"Encadernações e impressões específicas","Cumprir com as atividades propostas neste projeto, em especial na sistematização e realização de relatório final, bem como, impressão de material de divulgação das ações.",1572.86,1.00,1572.86,T,124,,,,,J,2018-04-30
1324,866,339018,,"Execução do Plano de Trabalho",27000.00,1.00,27000.00,T,,,,,,,
1325,866,339030,"Alimentação para atender aos condôminos participantes das ações",,3750.00,1.00,3750.00,T,124,u,,,,,
1326,866,339039,"Atividade de de inserção digital","Oficinas de organização familiar, de inserção digital e melhora da auto-estima de jovens e crianças (faz parte da atividade de mobilização comunitária)",3500.00,1.00,3500.00,T,124,,,,,J,2018-05-02
1327,866,339036,"Educador Social (arte e cultura)","Desenvolvimento de ações em formato de oficinas, com profissionais especializados.",3000.00,1.00,3000.00,T,124,,,,,F,2018-04-24
1331,866,339020,,"Assistente social",28800.00,1.00,28800.00,T,,,,,,,
1332,866,339018,,"Execução do Plano de Trabalho",9000.00,1.00,9000.00,T,,,,,,,
1333,866,339020,,"Coordenar do projeto",46800.00,1.00,46800.00,T,,,,,,,
1334,866,339018,,"Auxílio financeiro para a equipe (transporte)",1550.00,1.00,1550.00,T,,,,,,,
1335,866,339018,,"Execução do plano de trabalho",21600.00,1.00,21600.00,T,,,,,,,
1336,866,339018,,"Execução do Plano de Trabalho",9000.00,1.00,9000.00,T,,,,,,,
1337,866,339018,,"Execução do Plano de Trabalho",9000.00,1.00,9000.00,T,,,,,,,
1338,866,339018,,"Execução do Plano de Trabalho",9000.00,1.00,9000.00,T,,,,,,,
1339,866,339018,,"Execução do Plano de Trabalho",9000.00,1.00,9000.00,T,,,,,,,
1842,1304,339014,,"5 Palestrantes fora do município",250.00,5.00,1250.00,A,,,,,,,
1843,1304,339033,,"Dois dias de jornada ida e volta",50.00,4.00,200.00,A,,,,,,,
1844,1304,339033,,"Ida e volta dos 3 palestrantes",200.00,6.00,1200.00,A,,,,,,,
1848,1304,449051,"Materiais informáticas e sons",,750.00,1.00,750.00,A,,,,,,,
1964,1326,449052,"Ribom Impressora Térmica","Temos a impressora, mas não temos o ribom.",200.00,1.00,200.00,A,,,N,,,,
1965,1326,339014,,"Hospedagem Palestrante",180.00,4.00,720.00,A,,,,,,,
1966,1326,339030,"Etiquestas Térmicas",,1.00,20.00,20.00,A,,u,,,,,
1968,1326,339039,"Emissão de ISBN Anais",Anais,80.00,1.00,80.00,A,,,,,,J,2018-03-26
